キャリア適性診断
decision

設問ID,最終フラグ,設問文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,遷移先1,遷移先2,遷移先3,遷移先4,遷移先5
1,0,あなたはどのような環境で働くのが好きですか？,チームで協力,一人で集中,人と接する,,,2,3,4,,
2,0,チームワークで重視することは？,目標達成,メンバー成長,プロセス改善,,,5,6,7,,
3,0,集中作業で取り組みたい内容は？,技術・専門分野,クリエイティブ,データ分析,,,8,9,10,,
4,0,人との関わりでやりがいを感じるのは？,相談・カウンセリング,教育・指導,営業・接客,,,11,12,13,,
5,0,目標達成のために重視するのは？,効率的な計画,チーム連携,結果重視,,,14,15,16,,
6,0,メンバー成長で大切にするのは？,個別指導,チーム全体,長期的視点,,,17,18,19,,
7,0,プロセス改善で重視するのは？,システム化,品質向上,コスト削減,,,20,21,22,,
8,0,技術・専門分野での強みは？,深い知識,実践応用,問題解決,,,23,24,25,,
9,0,クリエイティブ作業で重視するのは？,独創性,美的センス,実用性,,,26,27,28,,
10,0,データ分析で大切にするのは？,正確性,洞察力,活用提案,,,29,30,31,,
11,0,相談・カウンセリングでの強みは？,傾聴力,共感力,問題解決力,,,32,33,34,,
12,0,教育・指導で重視するのは？,知識伝達,成長支援,モチベーション向上,,,35,36,37,,
13,1,営業・接客での強みは？,コミュニケーション,提案力,信頼関係構築,,,38,39,40,,
14,1,効率的な計画を立てる際に重視するのは？,論理性,実現可能性,リスク管理,,,1,41,42,,
15,1,チーム連携で大切にするのは？,情報共有,役割分担,相互支援,,,43,44,45,,
16,1,結果重視の仕事で大切なのは？,数値目標,品質基準,顧客満足,,,46,47,48,,
17,1,個別指導でのアプローチは？,個性重視,段階的指導,実践重視,,,2,49,50,,
18,1,チーム全体の成長で重視するのは？,協調性,多様性,チャレンジ精神,,,51,52,53,,
19,1,長期的視点での育成で大切なのは？,将来性,継続性,専門性,,,54,55,56,,
20,1,システム化で重視するのは？,効率性,標準化,自動化,,,3,57,58,,
21,1,品質向上で大切にするのは？,精度,安定性,継続改善,,,4,59,60,,
22,1,コスト削減で重視するのは？,効率化,無駄削減,投資対効果,,,61,62,63,,
23,1,深い知識を活かす場面は？,研究開発,専門相談,技術指導,,,64,65,66,,
24,1,実践応用で重視するのは？,現場適用,成果創出,改善提案,,,67,68,69,,
25,1,問題解決での強みは？,論理思考,創造性,実行力,,,70,71,72,,
26,1,独創性を発揮する領域は？,新規企画,デザイン,アイデア創出,,,73,74,75,,
27,1,美的センスを活かすのは？,デザイン,表現,空間演出,,,76,77,78,,
28,1,実用性重視のクリエイティブは？,UI/UX,商品開発,広告制作,,,79,80,81,,
29,1,正確性を重視する分析は？,統計解析,品質管理,監査業務,,,82,83,84,,
30,1,洞察力を活かす分析は？,市場調査,行動分析,トレンド予測,,,85,86,87,,
31,1,活用提案で重視するのは？,実装可能性,効果測定,継続改善,,,88,89,90,,
32,1,傾聴力を活かす場面は？,カウンセリング,インタビュー,相談業務,,,5,91,92,,
33,1,共感力を重視する相談は？,メンタルケア,人間関係,キャリア支援,,,93,94,95,,
34,1,問題解決力を活かす相談は？,業務改善,conflict解決,意思決定支援,,,96,97,98,,
35,1,知識伝達で重視するのは？,体系化,分かりやすさ,実践との結合,,,99,100,101,,
36,1,成長支援で大切にするのは？,個別対応,目標設定,フィードバック,,,102,103,104,,
37,1,モチベーション向上の方法は？,達成感,自主性,チャレンジ,,,105,106,107,,,

診断結果ID,ポイント下限,ポイント上限,表示文章
67,,,あなたは現場適用型の実践家です。理論を現場に適用し、実践的な成果を生み出すことが得意です。現場管理や実装支援に向いています。
68,,,あなたは成果創出型の実行者です。具体的な成果を重視し、確実に結果を出すことが得意です。営業や事業推進に向いています。
69,,,あなたは改善提案型のイノベーターです。現状を改善する提案を積極的に行うことが得意です。業務改善や新規事業企画に向いています。
70,,,あなたは論理思考型の分析家です。論理的な思考で問題を分析し、合理的な解決策を見つけることが得意です。戦略企画や経営分析に向いています。
71,,,あなたは創造性重視のクリエイターです。既存の枠にとらわれない創造的な解決策を生み出すことが得意です。商品企画や創作活動に向いています。
72,,,あなたは実行力重視のアクションリーダーです。迅速な判断と実行で問題を解決することが得意です。プロジェクトリーダーや現場管理に向いています。
73,,,あなたは新規企画型のプランナーです。独創的なアイデアで新しい企画を立案することが得意です。商品企画や事業企画に向いています。
74,,,あなたはデザイン志向のクリエイターです。美的センスとデザイン力で魅力的な作品を創出することが得意です。デザイナーやアートディレクターに向いています。
75,,,あなたはアイデア創出型のイノベーターです。次々と新しいアイデアを生み出し、創造的な価値を提供することが得意です。企画や研究開発に向いています。
76,,,あなたはデザイン専門型のアーティストです。視覚的な美しさと機能性を両立させることが得意です。グラフィックデザイナーやWebデザイナーに向いています。
77,,,あなたは表現力重視のクリエイターです。メッセージや感情を効果的に表現することが得意です。広告やコンテンツ制作に向いています。
78,,,あなたは空間演出型のデザイナーです。空間の魅力を最大化し、体験価値を創造することが得意です。インテリアデザインやイベント企画に向いています。
79,,,あなたはUI/UX重視のデザイナーです。ユーザー体験を重視した実用的なデザインが得意です。UXデザイナーやプロダクトデザイナーに向いています。
80,,,あなたは商品開発型のプロダクトマネージャーです。市場ニーズを捉えた実用的な商品を開発することが得意です。商品企画や製品開発に向いています。
81,,,あなたは広告制作型のマーケターです。効果的な広告やプロモーションを企画・制作することが得意です。マーケティングや広報に向いています。
82,,,あなたは統計解析型のデータサイエンティストです。正確な統計分析で意味のある知見を導き出すことが得意です。データ分析や市場調査に向いています。
83,,,あなたは品質管理型の管理者です。データに基づいた品質管理と改善を実現することが得意です。品質保証やプロセス管理に向いています。
84,,,あなたは監査業務型の専門家です。正確性と客観性を重視した監査や検査を行うことが得意です。内部監査や会計監査に向いています。
85,,,あなたは市場調査型のマーケットリサーチャーです。市場動向を洞察し、ビジネス機会を発見することが得意です。マーケティングリサーチや事業企画に向いています。
86,,,あなたは行動分析型の心理学的アプローチを得意とします。人の行動パターンを分析し、効果的な施策を提案することが得意です。UXリサーチやHR分析に向いています。
87,,,あなたはトレンド予測型のストラテジストです。将来のトレンドを予測し、先手を打った戦略を立案することが得意です。戦略企画やトレンド分析に向いています。
88,,,あなたは実装可能性重視の現実主義者です。理想と現実のバランスを取り、実現可能な提案を行うことが得意です。システム企画やプロジェクトマネジメントに向いています。
89,,,あなたは効果測定型のアナリストです。施策の効果を定量的に測定し、改善につなげることが得意です。マーケティング分析や事業分析に向いています。
90,,,あなたは継続改善型のカイゼンリーダーです。継続的な改善サイクルを回し、持続的な成長を実現することが得意です。品質改善や業務効率化に向いています。
91,,,あなたはインタビュー専門型の情報収集者です。効果的な質問で相手から重要な情報を引き出すことが得意です。調査や取材、採用面接に向いています。
92,,,あなたは相談業務型のアドバイザーです。相談者の状況を整理し、適切な助言を提供することが得意です。コンサルティングや相談窓口に向いています。
93,,,あなたはメンタルケア型のサポーターです。心の健康を重視し、精神的なサポートを提供することが得意です。メンタルヘルス対応や福利厚生に向いています。
94,,,あなたは人間関係調整型のファシリテーターです。人と人との関係を調整し、良好な関係性を築くことが得意です。人事や組織開発に向いています。
95,,,あなたはキャリア支援型のキャリアカウンセラーです。個人のキャリア形成を支援し、成長を促進することが得意です。人材開発やキャリア相談に向いています。
96,,,あなたは業務改善型のコンサルタントです。業務プロセスの問題点を特定し、改善策を提案することが得意です。業務コンサルティングや改善推進に向いています。
97,,,あなたは紛争解決型の調整者です。対立や紛争を解決し、合意形成を図ることが得意です。労務管理や交渉業務に向いています。
98,,,あなたは意思決定支援型のアドバイザーです。重要な意思決定をサポートし、最適な選択を導くことが得意です。戦略コンサルティングや経営企画に向いています。
99,,,あなたは体系化重視の教育設計者です。知識を体系的に整理し、効果的な教育プログラムを設計することが得意です。教育企画や研修設計に向いています。
100,,,あなたは分かりやすさ重視の教育者です。複雑な内容を分かりやすく伝えることが得意です。講師や教育担当に向いています。
101,,,あなたは実践結合型の教育者です。理論と実践を結び付けた効果的な教育を行うことが得意です。現場教育やOJTに向いています。
102,,,あなたは個別対応型のパーソナルトレーナーです。一人ひとりに合わせたきめ細やかな指導が得意です。個別指導や専門教育に向いています。
103,,,あなたは目標設定型のコーチです。明確な目標設定と達成への道筋を示すことが得意です。パフォーマンス管理やコーチングに向いています。
104,,,あなたはフィードバック重視の成長促進者です。適切なフィードバックで相手の成長を促すことが得意です。人材育成や評価業務に向いています。
105,,,あなたは達成感重視のモチベーター です。成功体験と達成感を通じて人のやる気を引き出すことが得意です。営業管理や目標管理に向いています。
106,,,あなたは自主性育成型のエンパワーメントリーダーです。相手の自主性を引き出し、主体的な行動を促すことが得意です。チーム運営や人材開発に向いています。
107,,,あなたはチャレンジ促進型のイノベーションリーダーです。新しい挑戦を促し、革新的な取り組みを推進することが得意です。新規事業や変革推進に向いています。
